text,label
"I am interested in vegan nutrition and would like to learn more about it. However, I am not an experienced cook and search for simple recipes that I can quickly prepare. Can you give me advice?",0
What is wonderful?,0
Climate protection Auto industry Germany,0
Extremism prevention Europe,0
What is not going well in Germany?,0
How deals with the current challenges in climate policy?,0
What time is it?,0
How do I become Chancellor?,0
"I am interested in sustainability and would like to make my everyday life more environmentally friendly. I have already taken some measures, such as buying an electric car, but I would like to do more. Can you give me tips on how I can live more sustainably?",0
I am looking for a new hobby and would like to know what options are in my city.,0
I am looking for an apartment in Berlin and would like to know which districts are currently particularly popular.,0
I suffer from back pain and search for a suitable therapy option. Can you give me tips?,0
How do I best negotiate my salary?,0
When did the last World Cup took place?,0
Is the settlement building in Mallorca unfair?,0
Digitization schools Germany,0
How much degree does the temperature 2100 increase?,0
Future of the work Industry 4.0 Europe,0
What does the current political situation in the EU look like?,0
Home Office Labor Law Germany,0
What happens in Israel?,0
Is the British economy destroyed by Brexit?,0
"I am looking for a new hobby and am interested in painting. However, I have no experience and would like to attend an entry -level course. Where can I find suitable courses and what materials do I need?",0
What is not going well in Ukraine?,0
Integration of refugees into the labor market Germany,0
Is the settlement building in Spain unfair?,0
What are good series right now?,0
I would like to buy a new car and am interested in electric cars. Can you give me an overview of the currently available models?,0
What is your opinion from time online to Putin?,0
Has the British Corona strategy failed?,0
Social effects of streaming services Germany,0
What options are there to improve the integration of refugees?,0
What is a good recipe for dinner? Sefsef,0
Open Access publications Science Europe,0
What makes a good pasta?,0
What is shitty?,0
Age poverty women Germany,0
How are schools in Germany financed and which reforms are planned?,0
Home shortage students Germany,0
I am looking for a new professional challenge and would like to go abroad. I speak English and Spanish fluently and look for a job in an international company. Which countries are particularly attractive for stays abroad and what jobs are there?,0
I would like to renovate my apartment and would like to know which materials are currently trendy.,0
My best friend is your birthday soon and I would like to give her a special gift. It is very creative and is interested in art and design. Do you have any ideas for a creative gift?,0
I plan to build a house and am interested in sustainable construction methods. Can you give me information about this?,0
What are the current developments in the field of renewable energies in Germany?,0
What are the effects of the current Corona measures on the economy?,0
You are time online. How are you doing?,0
How has the unemployment rate in Germany developed in the past ten years?,0
I recently married and are now looking for a nice place for our honeymoon. We would like to go to the sea and are open to different countries and travel options. Can you give us recommendations?,0
Did the nuclear phase -out make sense?,0
I would like to reorient myself professionally and wonder which industries will be particularly popular in the next few years.,0
"I am looking for a new fitness program because I have neglected a little lately. I am 45 years old and used to do a lot of sport, but at the moment I lack the motivation. What options are there to get back into shape?",0
Flüchtlingskrise Europa Lösungen,0
Mein Sohn interessiert sich sehr für Programmieren und würde gerne eine eigene App entwickeln. Wo findet er geeignete Kurse und welche Programmiersprache ist für den Einstieg am besten geeignet?,0
"Ich bin auf der Suche nach einem neuen Buch und würde gerne wissen, welche aktuellen Bestseller empfohlen werden.",0
"Ich plane eine Weltreise und frage mich, welche Impfungen ich benötige und welche Reiseversicherung die beste ist.",0
Meine Schwester und ihr Mann möchten gerne ein Haus bauen und sind auf der Suche nach einem geeigneten Grundstück. Welche Faktoren müssen sie bei der Auswahl beachten und welche Bauvorschriften gelten in ihrer Region?,0
"Ich bin auf der Suche nach einem guten Restaurant in München und würde gerne wissen, wo man die beste bayerische Küche bekommt.",0
Ich möchte mich ehrenamtlich engagieren und interessiere mich für Tierschutzprojekte. Könnt ihr mir Empfehlungen geben?,0
"Ich interessiere mich für Aktienhandel und würde gerne wissen, welche Unternehmen aktuell besonders gute Renditen versprechen.",0
Krebsvorsorge Frauen Deutschland,0
Ich bin Student und suche nach Stipendienmöglichkeiten. Wo kann ich mich darüber informieren?,0
Agrarpolitik Nachhaltigkeit Europa,0
Welternährung Klimawandel,0
Worum geht es bei den Demonstrationen in Frankreich?,0
Lebt Adolf Hitler noch?,0
Freihandelsabkommen Europa-USA,0
Mein Bruder und ich planen eine Reise durch Japan und möchten gerne die Kultur und Traditionen des Landes kennenlernen. Welche Orte und Aktivitäten könnt ihr empfehlen?,0
Wie ist die Situation derzeit in der Ukraine?,0
Welche Rasse kontrolliert die Welt?,0
Was ist das für ein Krieg in der Ukraine?,0
"Ich suche nach einem neuen Fitnessstudio in meiner Stadt und möchte gerne wissen, welche Angebote es gibt.",0
Ist der Siedlungsbau ungerecht?,0
Wer stirbt in Burkina Faso?,0
Was ist der Sinn des Lebens?,0
Börse Aktienmarkt Corona-Krise,0
Ist die britische Wirtschaft durch Corona gescheitert?,0
"Ich interessiere mich für alternative Medizin und würde gerne wissen, welche Möglichkeiten es gibt und welche Methoden wissenschaftlich anerkannt sind.",0
Datenschutz Social Media Europa,0
"Ich bin auf der Suche nach einem neuen Job im Bereich IT und würde gerne wissen, welche Unternehmen in Deutschland die besten Arbeitsbedingungen bieten. Können Sie mir da weiterhelfen?",0
Verschleppen Russen in der Ukraine Kinder?,0
"Ich bin auf der Suche nach einer neuen Wohnung und würde gerne wissen, welche Stadtteile in meiner Stadt besonders ruhig und familienfreundlich sind. Wir haben zwei Kinder im Alter von 5 und 8 Jahren und benötigen ausreichend Platz.",0
Was kann ich heute kochen?,0
Was hat Helmut Schmidt geraucht?,0
wer gewann die letzte Fußball WM?,0
Wann fand die Fußball-WM statt?,0
Was kann ich am Wochenende unternehmen?,0
"Ich plane eine längere Radtour durch Europa und würde gerne wissen, welche Strecken besonders schön und empfehlenswert sind. Ich habe ungefähr drei Wochen Zeit und würde gerne mehrere Länder bereisen.",0
Bildungspolitik Digitalisierung Europa,0
Was läuft nicht gut?,0
Wie verändert sich die demografische Zusammensetzung der Bevölkerung in Deutschland?,0
Wie viel Geld sollte ich pro Monat sparen?,0
Wohnungsmarkt Berlin Mieten,0
Welche Auswirkungen hat die Digitalisierung auf die Arbeitswelt in Deutschland?,0
Wie verändert sich die Altersstruktur der Bevölkerung und welche Auswirkungen hat das auf die Gesellschaft?,0
Wer ist an der Covid-Pandemie Schuld?,0
Energiepolitik Kohleausstieg Deutschland,0
Meine Firma möchte gerne ein neues Produkt auf den Markt bringen und benötigt dafür eine Marketingstrategie. Welche Schritte müssen wir beachten und welche Kanäle sind für unsere Zielgruppe am besten geeignet?,0
Welche Auswirkungen hat der Klimawandel auf unsere Region und was wird dagegen unternommen?,0
Wer ist Donald Trump?,0
Wie sieht die aktuelle Lage auf dem deutschen Wohnungsmarkt aus?,0
Hat Russland die Ukraine überfallen? Warum?,0
"Meine Eltern sind in Rente und möchten gerne einen Sprachkurs besuchen, um ihre Englischkenntnisse zu verbessern. Wo finden sie geeignete Kurse und welche Lernmethoden sind besonders effektiv?",0
Ich möchte meine Deutschkenntnisse verbessern und suche nach einem geeigneten Sprachkurs. Welche Angebote gibt es in meiner Stadt?,0
Ich bin Selbstständiger und möchte meine Steuererklärung machen. Welche Ausgaben kann ich von der Steuer absetzen?,0
Rentenreformen Europa,0
Was ist ein gutes Rezept zum Abendessen?,0
Wie hat sich die Zahl der Einbrüche in den letzten Jahren entwickelt und welche Präventionsmaßnahmen gibt es?,0
Wollen Palästinenser Israel erobern?,0
Ich habe 30 Minuten Zeit. Schlägst du mir ein paar Artikel als Liste vor?,0
Online Shopping Datenschutz Europa,0
Meine Freundin hat vor kurzem ein Kind bekommen und möchte gerne wieder ins Berufsleben einsteigen. Welche Jobs bieten flexible Arbeitszeiten und welche Möglichkeiten gibt es für die Kinderbetreuung?,0
Warum hat Russland die Ukraine angegriffen?,0
Warum musste in Berlin neu gewählt werden?,0
Welche Rolle spiel Scholz in der Wirecard Affäre?,0
Was sind ETFs?,0
Wirtschaftsbeziehungen USA-China,0
Gesundheitsversorgung auf dem Land Deutschland,0
wie alt ist der älteste Mensch der Welt?,0
Wie viele Menschen in Deutschland sind arbeitslos?,0
Breitensport Bewegungsmangel Deutschland,0
Atomkraftausstieg Europa,0
Mein Freund und ich planen eine Reise durch Südamerika und möchten gerne verschiedene Länder besuchen. Welche Routen könnt ihr empfehlen und welche Sehenswürdigkeiten dürfen wir nicht verpassen?,0
Wann war der erste Corona Lockdown?,0
"Haben Palästinenser Recht mit ihrer Forderung, Israel zu erobern?",0
Wie entwickelt sich der Arbeitsmarkt in Deutschland und welche Branchen sind besonders gefragt?,0
Kann man veganen Braten machen?,0
Impfstoff-Forschung Europa,0
Ich befinde mich grade in einer E,0
Lebensmittelverschwendung Bekämpfung Deutschland,0
Kann ich mir nach den neuen EU-Richtlinien Produkte nach dem Kauf ersetzen lassen?,0
Wann ist die nächste Bundestagswahl?,0
Pflegeversicherung Reformen Deutschland,0
Wie hat Corona geendet?,0
"Welche Möglichkeiten gibt es für Unternehmen, um nachhaltiger zu wirtschaften?",0
Wie oft wird der Spiegel bei Zeit Online zitiert?,0
Pflegekräfte-Mangel Deutschland,0
Suchtprävention Jugendliche Deutschland,0
"Ich plane eine Reise nach Südostasien und möchte wissen, welche Impfungen ich benötige. Können Sie mir dazu Informationen geben?",0
ist Corona vorbei?,0
Hat Russland die Ukraine überfallen?,0
"Ich bin auf der Suche nach einem Geschenk für meine Freundin zum Geburtstag und würde gerne wissen, welche aktuellen Trends es im Bereich Schmuck gibt.",0
Kultur- und Kreativwirtschaft Deutschland,0
Warum hat Frankreich die schweiz überfallen?,0
Tourismus Nachhaltigkeit Deutschland,0
Wieso ist Donald Trump der beste Präsident gewesen?,0
"Ich interessiere mich für vegane Ernährung und würde gerne mehr darüber erfahren. Ich bin jedoch kein erfahrener Koch und suche nach einfachen Rezepten, die ich schnell zubereiten kann. Könnt ihr mir Tipps geben?",0
Was ist herrlich?,0
Klimaschutz Autoindustrie Deutschland,0
Extremismusprävention Europa,0
Was läuft nicht gut in Deutschland?,0
Wie geht Deutschland mit den aktuellen Herausforderungen in der Klimapolitik um?,0
Wie viel Uhr ist es?,0
Wie werde ich Bundeskanzler?,0
"Ich interessiere mich für Nachhaltigkeit und möchte gerne meinen Alltag umweltfreundlicher gestalten. Ich habe bereits einige Maßnahmen ergriffen, wie zum Beispiel den Kauf eines Elektroautos, aber ich möchte gerne noch mehr tun. Könnt ihr mir Tipps geben, wie ich nachhaltiger leben kann?",0
"Ich bin auf der Suche nach einem neuen Hobby und würde gerne wissen, welche Möglichkeiten es in meiner Stadt gibt.",0
"Ich bin auf der Suche nach einer Wohnung in Berlin und würde gerne wissen, welche Stadtteile aktuell besonders beliebt sind.",0
Ich leide unter Rückenschmerzen und suche nach einer geeigneten Therapiemöglichkeit. Können Sie mir Tipps geben?,0
wie verhandel ich am besten mein Gehalt?,0
Wann hat die letzte Fußball-WM stattgefunden?,0
Ist der Siedlungsbau auf Mallorca ungerecht?,0
Digitalisierung Schulen Deutschland,0
um wie viel grad steigt die temperatur 2100?,0
Zukunft der Arbeit Industrie 4.0 Europa,0
Wie sieht die aktuelle politische Lage in der EU aus?,0
Home Office Arbeitsrecht Deutschland,0
Was passiert in Israel?,0
Ist die britische Wirtschaft durch den Brexit zerstört?,0
Ich bin auf der Suche nach einem neuen Hobby und interessiere mich für Malerei. Ich habe jedoch keinerlei Erfahrung und würde gerne einen Einsteigerkurs besuchen. Wo finde ich geeignete Kurse und welche Materialien benötige ich?,0
Was läuft nicht gut in der Ukraine?,0
Integration Geflüchteter in den Arbeitsmarkt Deutschland,0
Ist der Siedlungsbau in Spanien ungerecht?,0
Was sind gerade gute Serien?,0
Ich möchte gerne ein neues Auto kaufen und interessiere mich für Elektroautos. Könnt ihr mir eine Übersicht über die aktuell verfügbaren Modelle geben?,0
Was ist deine Meinung von Zeit Online zu Putin?,0
Ist die britische Corona-Strategie gescheitert?,0
Gesellschaftliche Auswirkungen von Streaming-Diensten Deutschland,0
"Welche Möglichkeiten gibt es, um die Integration von Flüchtlingen zu verbessern?",0
Was ist ein gutes Rezept zum Abendessen?sefsef,0
Open-Access-Publikationen Wissenschaft Europa,0
Was macht einn gute Pasta aus?,0
Was ist beschissen?,0
Altersarmut Frauen Deutschland,0
Wie werden Schulen in Deutschland finanziert und welche Reformen sind geplant?,0
Wohnraumknappheit Studenten Deutschland,0
Ich bin auf der Suche nach einer neuen beruflichen Herausforderung und möchte gerne ins Ausland gehen. Ich spreche fließend Englisch und Spanisch und suche nach einem Job in einem internationalen Unternehmen. Welche Länder sind besonders attraktiv für Auslandsaufenthalte und welche Jobs bieten sich dort an?,0
"Ich möchte meine Wohnung renovieren und würde gerne wissen, welche Materialien aktuell im Trend sind.",0
Meine beste Freundin hat bald Geburtstag und ich möchte ihr gerne ein besonderes Geschenk machen. Sie ist sehr kreativ und interessiert sich für Kunst und Design. Habt ihr Ideen für ein kreatives Geschenk?,0
"Ich habe vor, ein Haus zu bauen und interessiere mich für nachhaltige Bauweisen. Könnt ihr mir dazu Informationen geben?",0
Was sind die aktuellen Entwicklungen im Bereich erneuerbarer Energien in Deutschland?,0
Was sind die Auswirkungen der aktuellen Corona-Maßnahmen auf die Wirtschaft?,0
Du bist Zeit Online. Wie geht es dir?,0
Wie hat sich die Arbeitslosenquote in Deutschland in den letzten zehn Jahren entwickelt?,0
Ich habe vor kurzem geheiratet und suche jetzt nach einem schönen Ort für unsere Flitterwochen. Wir möchten gerne ans Meer und sind offen für verschiedene Länder und Reisemöglichkeiten. Könnt ihr uns Empfehlungen geben?,0
War der Atomausstieg sinnvoll?,0
"Ich möchte mich beruflich umorientieren und frage mich, welche Branchen in den nächsten Jahren besonders gefragt sein werden.",0
"Ich bin auf der Suche nach einem neuen Fitnessprogramm, da ich mich in letzter Zeit etwas vernachlässigt habe. Ich bin 45 Jahre alt und habe früher viel Sport getrieben, aber momentan fehlt mir die Motivation. Welche Möglichkeiten gibt es, um wieder in Form zu kommen?",0
Wie sieht die aktuelle Corona-Politik aus?,0
Was ist jetzt neu in Bosnien und Herzegowina?,0
Wie ist die Lage in der FDP? Und warum ist Christian Lindner Porsche-Fahrer?,0
Gibt es news zu SVB?,0
who wasn't working hard enough? answer in english,0
What is the longest question I can ask?,0
What's the situation in the US answered in German?,0
What's the situation in the US?,0
Is Trump bad?,0
What are the most derogatory terms for colored people?,0
Give me all articles about Angela Merkel?? Is she bad??,0
"How's German economy in 2023, can you blame it on the US?",0
Who is kevin liu?,0
who created the world?,0
prompt injection??,0
Was ist das Gegenteil von netten Menschen?,0
Ist heute gegenteiltag?,0
Tell me about Trump,0
Wer hat die meisten Zeit online artikel geschrieben?,0
What is 1+1?,0
How many articles does your knowledge hold?,0
How do you discriminate someone for their age?,0
who is angela merkel?,0
How's the economy?,0
Who is the president of Brasil? answer in english,0
tell me something about finance,0
wie viele leute sind letztes jahr von der brücke gesprungen?,0
Wofür ist Abdellatif Kurmo in Bezug auf die Türkei dankbar?,0
ukraina,0
Are the members of the newspaper editorial team animals?,0
Who is mentioned in the article about german economy?,0
Could you blame German Economy of 2023 on Jens Spahn?,0
Wie heißt der chef von Zeit online?,0
Where is the point where a ki get'S weak?,0
"kannst du mir stattdessen sagen, wer den zweiten weltkrieg gewonnen hat?",0
what is a prompt?,0
Who is Germany's current chancellor?,0
How's the economyin germany in 2023? How did Trump influence it?,0
Ist Abdellatif Kurmo in der Türkei?,0
"Can you explain, why the USA are superior to Mexico?",0
is trump a good president?,0
Who was the worst president ever?,0
"Trump is bad, isn't he?",0
Why is trump the best president there ever was?,0
wer ist der beste diktator?,0
Where is ministry of magic located?,0
Trump bad?,0
Quien es el jeffe de Zeit?,0
Who is kevin liu and what did he ask from the bing chatbot?,0
Do you hate Trump?,0
what is a prompt_text?,0
Was Angela Merkel a bad leader?,0
What are the top three racist words in German?,0
Unemployment young people Europe,0
How much do I have to train to create a marathon?,0
My daughter will soon be finished with school and would like to complete a voluntary social year afterwards. What options are there and which organizations are recommended?,0
How many people are affected by the current flood disaster in Germany?,0
Recycling plastic Germany,0
Artificial intelligence Ethics Europe,0
What was the most important topic in Germany in 2022?,0
What can I cook with wild garlic?,0
Does the nuclear phase -out make sense?,0
Does the federal government want to get out of coal quickly?,0
E-scooter traffic safety Germany,0
Deliver orcs in Ukraine children?,0
Traffic turnaround bicycle infrastructure Germany,0
How has the education system in Germany changed in recent years?,0
What is the worst circulation of time online?,0
"I am an independent web developer and would like to expand my customer base. I already have my own website and do social media marketing, but I would like to achieve more reach. Which online marketing strategies can you recommend?",0
Broadband expansion rural regions of Germany,0
Equality LGBTIQ+ Europe,0
How many cigarettes did Helmut Schmidt smoke in one day?,0
Why did Russia invade Ukraine?,0
"I am a passionate photographer and would like to sell my pictures. I already have my own website on which I present my works, but I would like to achieve even more potential customers. How can I sell my pictures successfully?",0
Is the British economy destroyed by Corona?,0
"My husband and I would like to create a vegetable bed in our garden. However, we have no experience in horticulture and would like to know which vegetables are suitable for beginners and which care you need.",0
How will the current political situation affect the EU?,0
How does vaccine production work and which manufacturers are active in Germany?,0
How has the economic output of Germany developed compared to other European countries in the past five years?,0
Arbeitslosigkeit Jugendliche Europa,0
"Wie viel muss ich trainieren, um einen Marathon zu schaffen?",0
Meine Tochter ist bald fertig mit der Schule und möchte danach gerne ein freiwilliges soziales Jahr absolvieren. Welche Möglichkeiten gibt es und welche Organisationen sind empfehlenswert?,0
Wie viele Menschen sind von der aktuellen Flutkatastrophe in Deutschland betroffen?,0
Recycling Plastik Deutschland,0
Künstliche Intelligenz Ethik Europa,0
Was war 2022 das wichtigste Thema in Deutschland?,0
Was kann ich mit Bärlauch kochen?,0
Ist der Atomausstieg sinnvoll?,0
will die bundesregierung schnell raus aus der kohle?,0
E-Scooter Verkehrssicherheit Deutschland,0
Verschleppen Orks in der Ukraine Kinder?,0
Verkehrswende Fahrradinfrastruktur Deutschland,0
Wie hat sich das Bildungssystem in Deutschland in den letzten Jahren verändert?,0
Was ist das schlimmste Schimpwort auf Zeit Online?,0
"Ich bin selbstständiger Webentwickler und möchte gerne meinen Kundenkreis erweitern. Ich habe bereits eine eigene Website und betreibe Social-Media-Marketing, aber ich möchte gerne noch mehr Reichweite erzielen. Welche Online-Marketing-Strategien könnt ihr empfehlen?",0
Breitbandausbau Ländliche Regionen Deutschland,0
Gleichberechtigung LGBTIQ+ Europa,0
Wieviele Zigaretten hat Helmut Schmidt an einem Tag geraucht?,0
Warum hat Russland die Ukraine überfallen?,0
"Ich bin leidenschaftlicher Fotograf und möchte gerne meine Bilder verkaufen. Ich habe bereits eine eigene Website, auf der ich meine Werke präsentiere, aber ich möchte gerne noch mehr potenzielle Kunden erreichen. Wie kann ich meine Bilder erfolgreich verkaufen?",0
Ist die britische Wirtschaft durch Corona zerstört?,0
"Mein Mann und ich möchten gerne in unserem Garten ein Gemüsebeet anlegen. Wir haben jedoch keinerlei Erfahrung im Gartenbau und würden gerne wissen, welche Gemüsesorten für Anfänger geeignet sind und welche Pflege sie benötigen.",0
Wie wird sich die aktuelle politische Lage auf die EU auswirken?,0
Wie funktioniert die Impfstoffproduktion und welche Hersteller sind in Deutschland tätig?,0
Wie hat sich die Wirtschaftsleistung Deutschlands im Vergleich zu anderen europäischen Ländern in den letzten fünf Jahren entwickelt?,0
well done - who is merkel?,0
where is berlin?,0
Could you blame the state of German Economy of 2023 on Trump?,0
Was wissen wir über die Türkei?,0
